channel_title,avg_views,video_count
Step Up: High Water,238647,1
SB Nation,237415,3
Mayo Clinic,237307,1
CNNMoney,237086,2
Kristen Hancher,235861,1
Great Big Story,235097,25
Car Throttle,235077,1
HouzzTV,234563,2
Sonic the Hedgehog,233958,1
Malik Nabee,231920,1
Mr Sunday Movies,231767,2
LOOK MUM NO COMPUTER,230858,1
FC Barcelona,230789,5
Allure,230582,4
amc,230379,3
Because Science,230248,3
Techquickie,230223,1
Wix.com,229709,1
Street Speed 717,229570,1
Bramty Juliette,229081,1
Lofty Pursuits,229000,1
Goodwillsandusky,228745,1
E! Live from the Red Carpet,228494,4
Beth Kobliner,228367,1
OWN,227943,1
CatPusic,227342,1
StarTalk,226451,1
Lane Anderson,225748,1
Dancing With The Stars,225230,7
Taylor Swift,224157,3
Bethany Wilhelm,223332,1
FIFATV,222827,1
Billie Eilish,222322,1
Jon Olsson,222260,1
Extra Credits,221924,2
Miranda Sings,221872,3
Clevver News,221434,6
DoodleChaos,221145,1
Chris Turner,221067,1
Frankie Vision,220548,1
UFC - Ultimate Fighting Championship,219502,2
MsAaliyahJay,219030,1
Tpindell,218992,1
Alissa Ashley,218820,4
ColdFusion,217582,1
Cat Man Chris,217270,2
SumerianRecords,215876,1
WXYZ-TV Detroit | Channel 7,215733,1
fosterthepeopleVEVO,214534,2
The View,214457,18
BBC News,214380,19
Philadelphia Eagles,213825,1
Andrew Rowland,213782,1
Gondwana Collection Namibia,213584,1
J S,212858,1
Beats 1 Radio,212742,3
JohnNewmanVEVO,212489,1
Simon's Cat,212001,13
The Key of Awesome,211001,1
Comicbook.com,210946,3
The Orchard Movies,210816,2
MinuteEarth,209461,5
Caspar,208892,1
Adam Neely,208289,1
Don Diablo,208210,2
Erin Noelle,206669,1
Now You See It,206319,1
TmarTn2,206258,1
Kia Motors America,206006,1
Sugar Pine 7,204420,3
CaptainDisillusion,204170,2
DidYouKnowGaming?,204053,1
G-Eazy,203984,1
Jenn Im,202882,2
WOWPresents,202725,9
To Scale:,202621,1
SciShow,202152,26
Inside Edition,201958,15
Adam's Apple,201784,1
Michelle Khare,201428,9
