video_id,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20
Om_zGhJLZ5U,-0.060524806,-0.3200847,0.048976336,-0.12001039,0.08116899,-0.016934358,-0.037479408,-0.19877055,0.056381077,-0.2287035,0.08139092,0.021140968,0.05154841,-0.044414673,-0.030870244,0.019554779,-0.03061217,-0.041762613,0.026716726,-0.10142818
e_7zHm7GsYc,-0.3278952,0.17428766,-0.06307981,-0.047621936,0.1254745,-0.06855863,0.0015469529,-0.14696312,-0.017556045,-0.050627396,-0.023565419,-0.18289144,-0.00542045,-0.044330113,-0.05204971,0.079924054,0.06843347,-0.009931077,0.028139278,0.029004455
dQvIbulWCM4,-0.003639236,0.08545122,0.246115,-0.013892025,-0.10881622,-0.37105516,0.09562239,0.07583733,0.03481105,0.014151424,0.19545095,-0.062577814,-0.06661066,0.09559841,-0.055778667,-0.004860567,-0.0030000815,-0.0439216,0.14144354,-0.0037336801
zZ9FciUx6gs,-0.3211819,-0.12177709,-0.04551838,-0.023397997,0.060422927,0.15290326,-0.14895211,0.11140466,0.047978133,0.018266119,0.106562406,-0.05845493,0.12661274,-0.009136541,0.046023607,-0.079473466,-0.03304758,-0.048432354,-0.07288569,-0.060941596
PaJCFHXcWmM,-0.37932718,-0.007929665,-0.18886848,0.16698498,0.0129387425,-0.025282994,0.090064496,-0.031093199,0.15424569,-0.10973559,-0.043253373,-0.084638014,0.08942805,0.057448912,-0.05225558,-0.03979107,0.034436032,-0.09724957,-0.13506639,-0.09892821
goP4Z5wyOlM,0.085631385,-0.17759046,-0.037096173,0.18276636,0.05424611,0.09521138,0.10862447,0.2014632,-0.17253743,0.0060756803,-0.089815624,0.020431975,0.0768749,0.086449094,-0.029557098,-0.037817746,0.006487918,-0.049582053,-0.1380318,0.0030263416
NZFhMSgbKKM,0.073511444,-0.057871822,0.15166652,0.35461673,-0.17272562,0.0021498278,-0.041806698,-0.23651277,0.12929173,-0.075135335,0.038506866,-0.056643456,-0.07268588,-0.24133857,-0.008590668,-0.06574143,-0.17905056,-0.028124679,0.05566838,-0.13297382
0tO_l_Ed5Rs,-0.34191096,0.037145168,-0.0016586361,0.07259327,0.03011498,0.04279681,-0.022950247,-0.055301826,-0.043800194,-0.10432874,-0.08280608,0.048922144,0.048385967,0.030894358,-0.08155337,-0.011210823,-0.06585557,0.08689929,0.10438163,0.047151964
STI2fI7sKMo,0.09306076,-0.014002654,0.23092996,0.09277893,0.00974535,0.0331629,0.030722896,-0.0070439503,0.20511906,-0.052977838,0.01843869,0.021897761,0.019399662,-0.18956843,0.090328135,0.051152747,0.046748284,-0.060126487,-0.10645684,0.16821525
BWPrk9PUwQE,0.094625026,0.07752501,0.16059117,-0.15324476,-0.1685054,0.35716665,-0.049169697,0.030469159,0.094073206,-0.074766316,0.05906351,-0.081829675,0.066299334,0.07310755,-0.09059061,0.0131074255,-0.00223789,-0.05632664,-0.016176589,0.08853426
